Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total population,Sex ratio (males per 100 females),Median age (years),Unemployment Rate,Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,Asian,Hispanic or Latino (of any race),geoid,typo,INTPTLAT_x,INTPTLONG,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT_y,INTPTLONG,relation_max_fee,relation_min_fee
103,263,41.1,78882,102919,791,8.8,5.5,512400,2430,731,1162,1939,518,503,1939,75.63,43.8,0.06,0.02,0.02,0.02,0.06,0.09,0.03,0.09,0.11,0.43,0.06,0.03,0.03,0.01,0.97,0.84,0.2,0.03,0.28,0.14,0.24,0.07,0.04,0.04194654271,0.62,0.18,0.28,0.3,0.01,0.04,0.48,0.02,0.24,0.81,0.02,0.16,0.03,36047065800,MHI - Stable Exclusion,40.61,-73.93,0,0,0,NY,153365,0,0.059,0,40.6080828,-73.9312005,1500,1048
234,364,38.9,97935,136127,752,4.944467354,6.2,531600,2339,723,1472,2202,325,318,2202,101.1,41.3,0.05,0.05,0.01,0.03,0.04,0.05,0.06,0.08,0.17,0.34,0.04,0.05,0.09,0.01,0.98,0.86,0.05,0.01,0.16,0.05,0.37,0.09,0.06,0.04194654271,0.69,0.16,0.27,0.19,0.01,0.03,0.42,0.08,0.19,0.84,0.01,0.12,0.05,36047066000,MHI - Stable Exclusion,40.61,-73.93,0,0,0,NY,152314,0,0.059,0,40.6090466,-73.92808,1500,1048
99,260,41.8,76016,86807,644,4.944467354,5.2,486000,2383,943,1295,1682,438,400,1687,89.34,44.8,0.11,0.17,0.03900655572,0.02746184285,0.04,0.06,0.02,0.07,0.11,0.34,0.06,0.11,0.03,0.05,0.96,0.68,0.24,0.03,0.15,0.18,0.24,0.06,0.03,0.04194654271,0.57,0.16,0.27,0.31,0.01,0.04,0.34,0.05,0.21,0.75,0.01,0.14,0.12,36047066200,MHI - Stable Exclusion,40.61,-73.92,0,0,0,NY,231462,0,0.089,0,40.6093052,-73.924372,1569,1178
230,398,50.9,76250,91103,1077,4.6,4.4,456000,2423,730,1569,2899,1254,1121,2899,73.49,40.5,0.11,0.05,0.03,0.02746184285,0.06,0.1,0.03,0.06,0.12,0.39,0.03,0.05,0.06,0.06,0.9,0.64,0.44,0.04,0.16,0.35,0.2,0.05,0.09,0.04,0.71,0.14,0.38,0.37,0.09,0.08,0.27,0.03,0.18,0.22,0.61,0.07,0.15,36047067000,MHI - Ongoing Exclusion,40.61,-73.92,0,0,0,NY,208266,0,0.08,0,40.6127246,-73.9227642,1631,1178
120,202,45.7,68090,83792,491,13.1,5,433300,2537,642,1329,1704,994,976,1704,76.95,39.3,0.11,0.06,0.04,0.02746184285,0.11,0.08,0.04,0.07,0.03,0.4,0.06,0.04,0.08,0.09948643411,0.84,0.49,0.31,0.01,0.23,0.17,0.14,0.11,0.13,0.04,0.91,0.1,0.47,0.44,0.09,0.1,0.24,0.01,0.16,0.12,0.8,0.02,0.14,36047067200,MHI - Ongoing Exclusion,40.62,-73.93,0,0,0,NY,174237,0,0.067,0,40.618747,-73.9278042,1614,1048
104,321,52.8,71652,81776,660,4.944467354,5.6,447800,2420,842,1614,2034,1035,956,2040,85.45,43.6,0.06,0.09,0.03,0.01,0.13,0.06,0.05,0.04,0.07,0.3,0.09,0.04,0.09,0.1,0.9,0.54,0.2,0.06,0.13,0.31,0.22,0.02,0.08,0.02,0.78,0.12,0.44,0.44,0.07,0.06,0.28,0.03,0.17,0.23,0.62,0.06,0.14,36047067400,MHI - Stable Exclusion,40.62,-73.93,0,0,0,NY,189209,0,0.073,0,40.6198305,-73.9302723,1792,1048
86,192,50.2,82872,94958,632,4.944467354,5.4,444900,2631,911,1792,2132,1051,998,2132,95.06,37.9,0.09,0.08,0.03900655572,0.02746184285,0.06,0.07,0.03797297297,0.09,0.11,0.41,0.1,0.07,0.02,0.02,0.85,0.64,0.26,0.03,0.14,0.17,0.2,0.12,0.03,0.02,0.79,0.13,0.38,0.51,0.1,0.06,0.35,0.07,0.17,0.12,0.83,0.03,0.12,36047067600,MHI - Stable Exclusion,40.62,-73.93,0,0,0,NY,155374,0,0.06,0,40.624995,-73.9272011,1619,1186
129,257,47.5,85234,88003,1002,4.944467354,4.7,469800,3091,793,1573,2460,1325,1268,2477,88.08,44,0.08,0.04,0.01,0.02746184285,0.05,0.09,0.02,0.12,0.06,0.49,0.04,0.03,0.05,0.04,0.94,0.74,0.43,0.02,0.12,0.21,0.21,0.05,0.06,0.01,0.75,0.12,0.45,0.4,0.03,0.1,0.32,0.06,0.17,0.15,0.83,0.1562713675,0.03,36047067800,MHI - Ongoing Exclusion,40.63,-73.92,0,0,0,NY,166222,0,0.064,0,40.6261489,-73.922779,1631,1178
191,388,49.4,70938,88538,607,4.944467354,5.6,401800,2680,653,1395,2112,946,924,2112,109.52,36,0.11,0.03,0.06,0.02746184285,0.08,0.11,0.03797297297,0.05,0.08,0.4,0.05,0.06,0.08,0.09948643411,0.92,0.67,0.25,0.04078389831,0.23,0.3,0.18,0.14,0.11,0.03,0.68,0.13,0.37,0.34,0.06,0.05,0.27,0.02,0.16,0.17,0.77,0.05,0.14,36047068000,MHI - Stable Exclusion,40.62,-73.93,0,0,0,NY,168859,0,0.065,0,40.6213764,-73.9251879,1792,1186
171,312,42.1,92632,109267,899,4.944467354,5.1,466500,2723,722,1382,3099,1352,1307,3099,87.36,37.9,0.09,0.12,0.02,0.01,0.11,0.07,0.03797297297,0.08,0.08,0.38,0.02,0.07,0.04,0.01,0.89,0.72,0.18,0.01,0.16,0.25,0.32,0.05,0.07,0.05,0.79,0.15,0.33,0.42,0.08,0.04,0.31,0.06,0.2,0.22,0.67,0.04,0.15,36047068200,MHI - Ongoing Exclusion,40.62,-73.92,0,0,0,NY,202229,0,0.078,0,40.6166469,-73.9241304,1631,1178
188,127,43.6,51694,66844,733,5.3,4.3,403300,2155,720,1323,1729,606,570,1729,72.21,43.8,0.1,0.04,0.04,0.02,0.07,0.09,0.02,0.17,0.03,0.38,0.05,0.05,0.05,0.07,0.92,0.66,0.35,0.01,0.29,0.28,0.15,0.07,0.04,0.03,0.55,0.24,0.21,0.29,0.07,0.06,0.28,0.08,0.28,0.51,0.35,0.08,0.1,36047068600,LI - Not Losing Low-Income Households,40.61,-73.92,0,0,0,NY,148006,0,0.057,0,40.6148226,-73.9172817,1631,1178
112,165,48.1,88125,97251,605,6.3,5.4,436400,2504,785,1178,1631,492,492,1636,99.27,44.5,0.09,0.06,0.03,0.01,0.12,0.05,0.06,0.1,0.07,0.41,0.02,0.03,0.03,0.05,0.9,0.76,0.23,0.04078389831,0.18,0.19,0.23,0.05,0.07,0.04194654271,0.72,0.2,0.44,0.33,0.01,0.07,0.26,0.05,0.24,0.36,0.59,0.04,0.06,36047068800,MHI - Stable Exclusion,40.62,-73.92,0,0,0,NY,156912,0,0.061,0,40.6172158,-73.9191004,1631,1323
54,308,49.1,79139,112902,656,10.6,5.5,414000,2616,730,1631,1896,823,804,1901,83.85,38.2,0.09,0.04,0.01,0.01,0.06,0.06,0.03797297297,0.13,0.08,0.49,0.05,0.03,0.04,0.01,0.95,0.72,0.33,0.04078389831,0.29,0.22,0.19,0.08,0.04,0.04194654271,0.89,0.1,0.52,0.48,0.03,0.06,0.4,0.02,0.16,0.19,0.66,0.04,0.1,36047069000,MHI - Stable Exclusion,40.62,-73.92,0,0,0,NY,172913,0,0.067,0,40.6199654,-73.9206701,1622,1178
191,562,45,101250,103007,857,3.4,5,446900,2529,827,1622,2882,1201,1166,2882,85.1,33.3,0.07,0.02,0.02,0.04,0.03,0.15,0.01,0.05,0.06,0.42,0.09,0.04,0.08,0.01,0.87,0.7,0.39,0.03,0.26,0.2,0.29,0.04,0.12,0.02,0.77,0.09,0.43,0.41,0.03,0.07,0.33,0.06,0.12,0.1,0.78,0.04,0.06,36047069200,MHI - Advanced Gentrification,40.62,-73.92,1,2,3,NY,182215,0,0.07,0,40.6236755,-73.9200888,1631,1178
206,722,49.5,55762,69836,1583,1.4,4.4,590100,3169,997,1478,3960,1402,1371,3960,101.53,36.6,0.17,0.03,0.07,0.01,0.13,0.11,0.03797297297,0.09,0.03,0.33,0.05,0.04,0.11,0.04,0.88,0.6,0.63,0.04,0.3,0.32,0.17,0.04,0.11,0.02,0.76,0.14,0.42,0.33,0.04,0.04,0.35,0.04,0.18,0.49,0.46,0.03,0.13,36047069601,LI - Not Losing Low-Income Households,40.63,-73.92,0,0,0,NY,456923,47776,0.176,0.018,40.6271699,-73.9153676,1631,1318
357,966,41.4,86362,102424,2324,6.1,4.9,567500,2927,947,1359,6318,2353,2265,6318,92.33,40.8,0.05,0.05,0.04,0.06,0.05,0.12,0.04,0.08,0.15,0.31,0.04,0.03,0.04,0.03,0.94,0.65,0.33,0.01,0.29,0.17,0.33,0.08,0.02,0.05,0.69,0.14,0.31,0.3,0.06,0.03,0.37,0.04,0.19,0.61,0.22,0.08,0.15,36047069602,MHI - Stable Exclusion,40.62,-73.91,0,0,0,NY,688168,172866,0.266,0.067,40.622761,-73.9092489,1631,1429
120,177,40.4,77500,102358,517,4.944467354,5.6,454100,2105,753,1520,1419,312,302,1419,103,43.5,0.03,0.11,0.01,0.09,0.09,0.09,0.01,0.04,0.06,0.33,0.1,0.01,0.06,0.03,0.88,0.66,0.27,0.02,0.26,0.18,0.3,0.14,0.01,0.04194654271,0.63,0.18,0.32,0.14,0.05,0.04,0.37,0.05,0.2,0.83,0.01,0.1,0.1,36047069800,MHI - Stable Exclusion,40.61,-73.92,0,0,0,NY,500249,120721,0.193,0.047,40.6112503,-73.9170851,1631,1178
233,164,37.4,55380,96685,671,4.944467354,5.2,570100,2631,913,1480,1752,446,435,1757,102.19,39.1,0.05,0.06,0.04,0.01,0.09,0.06,0.01,0.13,0.15,0.27,0.07,0.08,0.02,0.02,0.89,0.69,0.39,0.05,0.26,0.2,0.37,0.06,0.06558448188,0.04194654271,0.64,0.16,0.34,0.3,0.03,0.02,0.35,0.04,0.19,0.96,0.02,0.01,0.04,36047070000,LI - Not Losing Low-Income Households,40.62,-73.91,0,0,0,NY,201893,0,0.078,0,40.6200459,-73.9067408,1631,1178
562,966,40,72750,117116,2532,4.944467354,5.8,722100,3934,1086,1408,6265,2439,2325,6265,91.65,41.8,0.08,0.05,0.02,0.03,0.2,0.06,0.02,0.09,0.07,0.26,0.1,0.03,0.07,0.08,0.96,0.69,0.2,0.01,0.19,0.18,0.35,0.11,0.05,0.04194654271,0.61,0.22,0.26,0.21,0.05,0.05,0.4,0.03,0.27,0.89,0.02,0.03,0.09,36047070201,MHI - Stable Exclusion,40.61,-73.91,0,0,0,NY,1074076,177944,0.415,0.069,40.6089645,-73.9081434,1569,1295
183,355,33.9,88837,106609,1028,4.944467354,5.9,650200,3230,948,2142,2588,609,584,2588,89.74,45.7,0.07,0.09,0.05,0.01,0.08,0.07,0.02,0.13,0.09,0.3,0.03,0.08,0.06,0.01,0.97,0.79,0.14,0.01,0.12,0.1,0.46,0.07,0.02,0.01,0.58,0.23,0.3,0.21,0.06,0.07,0.38,0.03,0.27,0.93,0.04,0.02,0.02,36047070600,MHI - Stable Exclusion,40.61,-73.89,0,0,0,NY,1650185,903173,0.637,0.349,40.6124441,-73.8940807,1556,1394
122,540,52.4,64659,70251,699,2.6,4.5,550500,3269,783,1619,2182,1081,1081,2182,73.04,35,0.11,0.07,0.02,0.02,0.11,0.03,0.04,0.09,0.07,0.36,0.11,0.05,0.04,0.08,0.91,0.55,0.63,0.02,0.22,0.37,0.11,0.08,0.07,0.03,0.78,0.14,0.45,0.45,0.1,0.09,0.35,0.02,0.15,0.08,0.81,0.08,0.03,36047072000,MHI - Advanced Gentrification,40.63,-73.92,1,2,3,NY,158228,0,0.061,0,40.6288503,-73.9200467,1631,1318
178,452,46.8,65305,75713,1054,4.944467354,4.8,492000,2871,779,1318,2928,1561,1469,2928,73.87,39.8,0.16,0.04,0.01,0.02746184285,0.04,0.14,0.04,0.08,0.06,0.45,0.05,0.05,0.04,0.04,0.93,0.66,0.28,0.01,0.19,0.38,0.21,0.03,0.03,0.02,0.84,0.2,0.35,0.43,0.03,0.12,0.28,0.04,0.24,0.03,0.92,0.02,0.04,36047072200,MHI - Stable Exclusion,40.63,-73.92,0,0,0,NY,257178,0,0.099,0,40.6319999,-73.9243887,1622,1348
167,192,57.8,76500,90302,693,3.7,4.8,477000,2691,674,1429,2014,1086,1064,2025,90.68,41.4,0.11,0.03,0.03,0.01,0.05,0.07,0.02,0.08,0.08,0.38,0.07,0.06,0.07,0.03,0.92,0.68,0.38,0.02,0.17,0.29,0.23,0.03,0.12,0.04194654271,0.82,0.21,0.5,0.41,0.09,0.07,0.26,0.04,0.25,0.05,0.92,0.1562713675,0.05,36047072400,MHI - Stable Exclusion,40.63,-73.93,0,0,0,NY,192192,0,0.074,0,40.6341061,-73.9270557,1619,1146
86,322,50.4,82024,90531,753,4.944467354,5.7,442600,2562,818,1274,2159,1052,1052,2159,86.6,42,0.16,0.06,0.03900655572,0.01,0.05,0.06,0.07,0.12,0.1,0.38,0.05,0.02,0.07,0.04,0.89,0.67,0.14,0.01,0.08,0.29,0.28,0.05,0.06558448188,0.04,0.77,0.17,0.41,0.37,0.07,0.02,0.32,0.02,0.25,0.03,0.91,0.1562713675,0.1,36047072600,MHI - Stable Exclusion,40.63,-73.93,0,0,0,NY,275168,0,0.106,0,40.6324139,-73.9338762,1792,1146
335,453,52.8,61481,81925,1592,5.5,4.3,299000,2092,923,1237,4107,1979,1958,4107,82.53,40.3,0.12,0.01,0.01,0.02,0.1,0.07,0.03797297297,0.08,0.06,0.45,0.09,0.06,0.05,0.01,0.89,0.63,0.27,0.01,0.12,0.35,0.2,0.03,0.06,0.01,0.83,0.14,0.53,0.45,0.03,0.04,0.35,0.08,0.16,0.07,0.9,0.02,0.05,36047072800,MHI - Stable Exclusion,40.63,-73.93,0,0,0,NY,212050,0,0.082,0,40.6294856,-73.9270042,1792,1146
292,212,52.3,89219,111989,799,8.5,5.7,484700,2710,869,1619,2495,1238,1166,2510,90.58,37.8,0.13,0.01,0.03900655572,0.01,0.15,0.09,0.04,0.07,0.03,0.4,0.08,0.03,0.08,0.03,0.92,0.65,0.22,0.03,0.15,0.2,0.25,0.07,0.01,0.02,0.72,0.15,0.51,0.42,0.04,0.04,0.33,0.04,0.21,0.08,0.88,0.01,0.07,36047073000,MHI - Stable Exclusion,40.63,-73.93,0,0,0,NY,185015,0,0.071,0,40.6262007,-73.9298489,1792,1186
120,234,45.1,73580,81335,837,4.4,5.5,456600,2376,1003,1186,2633,1204,1193,2633,77.79,41.2,0.1,0.06,0.03,0.01,0.09,0.09,0.01,0.1,0.1,0.28,0.1,0.06,0.06,0.04,0.96,0.67,0.38,0.01,0.19,0.27,0.23,0.04,0.05,0.02,0.79,0.17,0.46,0.45,0.05,0.05,0.27,0.04,0.22,0.03,0.9,0.04,0.04,36047073200,MHI - Ongoing Exclusion,40.63,-73.93,0,0,0,NY,160035,0,0.062,0,40.6279281,-73.9336063,1792,1237
138,317,47.5,83542,100318,688,4.944467354,6.1,455100,2660,752,1610,2217,1040,964,2217,93.46,39.9,0.06,0.08,0.01,0.02746184285,0.04,0.13,0.03797297297,0.05,0.1,0.45,0.04,0.02,0.08,0.03,0.94,0.81,0.16,0.04078389831,0.09,0.07,0.29,0.05,0.04,0.04194654271,0.86,0.15,0.41,0.33,0.05,0.02,0.44,0.05,0.18,0.05,0.9,0.1562713675,0.05,36047073400,MHI - Stable Exclusion,40.63,-73.94,0,0,0,NY,151105,0,0.058,0,40.6278153,-73.9374778,1256,1122
161,665,45.1,60353,85824,1312,4.9,3.8,463400,2522,720,1122,3628,2109,2022,3638,100,40.1,0.09,0.06,0.01,0.01,0.03,0.11,0.02,0.09,0.09,0.38,0.1,0.05,0.06,0.07,0.93,0.62,0.69,0.07,0.25,0.42,0.17,0.02,0.09,0.06,0.94,0.07,0.45,0.47,0.05,0.07,0.3,0.04,0.1,0.09,0.65,0.1,0.17,36047073600,MHI - Stable Exclusion,40.62,-73.94,0,0,0,NY,178018,0,0.069,0,40.6240357,-73.9357989,1610,1159
313,540,44.9,53571,75829,1298,7,4.7,481800,2151,1064,1179,3501,1457,1411,3509,92.48,32.3,0.05,0.06,0.03,0.01,0.03,0.1,0.02,0.1,0.13,0.35,0.05,0.05,0.08,0.08,0.97,0.68,0.49,0.01,0.16,0.43,0.13,0.02,0.04,0.05,0.76,0.11,0.4,0.43,0.1,0.06,0.34,0.03,0.15,0.29,0.62,0.04,0.09,36047073800,LI - Not Losing Low-Income Households,40.62,-73.94,0,0,0,NY,180579,0,0.07,0,40.6224095,-73.9390772,1500,1122
349,639,48.1,58646,79263,1220,8,4.9,479800,2708,967,1159,4152,2160,2064,4152,76.98,30,0.08,0.06,0.03900655572,0.02746184285,0.11,0.1,0.02,0.11,0.1,0.43,0.04,0.03,0.01,0.06,0.91,0.54,0.66,0.01,0.27,0.33,0.18,0.03,0.08,0.09,0.61,0.09,0.53,0.42,0.09,0.05,0.28,0.03,0.11,0.06,0.73,0.14,0.05,36047074000,MHI - Advanced Gentrification,40.63,-73.94,1,2,3,NY,162388,0,0.063,0,40.6273942,-73.9412567,1610,1122
260,739,39.9,77870,90314,1008,6.7,5.4,506300,2744,770,1204,3477,1094,954,3491,93.09,33.3,0.08,0.04,0.01,0.02,0.21,0.08,0.01,0.07,0.06,0.3,0.08,0.08,0.06,0.04,0.97,0.64,0.44,0.01,0.19,0.33,0.2,0.03,0.09,0.03,0.75,0.11,0.49,0.46,0.06,0.08,0.3,0.05,0.14,0.44,0.44,0.05,0.09,36047074200,MHI - Stable Exclusion,40.63,-73.94,0,0,0,NY,174327,0,0.067,0,40.6269944,-73.9449753,1610,1122
344,798,30.1,103611,140005,696,4.944467354,6.5,597100,3044,694,1219,2738,543,472,2748,111.71,24.3,0.05,0.04,0.05,0.03,0.05,0.02,0.02,0.14,0.1,0.44,0.03,0.06,0.02,0.08,0.96,0.83,0.2,0.01,0.23,0.1,0.37,0.05,0.08,0.04194654271,0.79,0.06,0.35,0.25,0.04,0.04,0.53,0.06,0.08,0.87,0.06,0.03,0.04,36047074400,MHI - Advanced Gentrification,40.62,-73.94,1,2,3,NY,170075,0,0.066,0,40.6223292,-73.9431173,1500,1122
256,468,36.6,85186,91922,714,6,5.8,618400,2440,1017,1500,2330,542,511,2363,111.55,31.1,0.08,0.05,0.03900655572,0.02,0.07,0.06,0.03,0.12,0.17,0.39,0.04,0.02,0.03,0.06,0.94,0.67,0.39,0.04078389831,0.19,0.26,0.27,0.03,0.04,0.01,0.74,0.11,0.4,0.34,0.02,0.03,0.38,0.05,0.17,0.8,0.13,0.04,0.06,36047074600,MHI - Stable Exclusion,40.62,-73.94,0,0,0,NY,202040,0,0.078,0,40.6186094,-73.942635,1495,1122
146,462,40.4,72250,93558,660,4.944467354,5.6,748900,2958,908,1462,1863,278,256,1863,93.26,30.8,0.05,0.07,0.03,0.05,0.08,0.01,0.02,0.11,0.18,0.32,0.04,0.01,0.09,0.08,0.98,0.77,0.43,0.02,0.29,0.25,0.3,0.03,0.04,0.06,0.71,0.13,0.34,0.33,0.02,0.03,0.47,0.09,0.17,0.75,0.23,0.01,0.04,36047074800,MHI - Stable Exclusion,40.62,-73.95,0,0,0,NY,176549,0,0.068,0,40.6218931,-73.9468957,3097,1087
232,602,37.7,52731,69264,976,5.7,5,674200,2659,963,1289,2817,731,671,2827,108.33,33,0.12,0.07,0.04,0.06,0.09,0.1,0.03797297297,0.12,0.09,0.33,0.04,0.05,0.03,0.08,0.92,0.62,0.54,0.05,0.21,0.35,0.2,0.01,0.05,0.03,0.68,0.1,0.44,0.41,0.04,0.02,0.36,0.05,0.12,0.81,0.1,0.05,0.05,36047075000,LI - Not Losing Low-Income Households,40.63,-73.95,0,0,0,NY,173420,0,0.067,0,40.6265678,-73.948766,3097,1131
43,158,34.6,125750,182092,329,10.5,8.1,969400,3370,1500,1875,926,146,131,926,90.53,46.1,0.05,0.05724859622,0.01,0.17,0.16,0.04,0.02,0.06,0.12,0.39,0.01,0.05686018384,0.01,0.02,0.96,0.82,0.12,0.01,0.07,0.05,0.53,0.1,0.06558448188,0.04194654271,0.58,0.22,0.38,0.29,0.03,0.04,0.67,0.17,0.28,0.97,0.03,0.1562713675,0.2710875842,36047075200,MHI - Stable Exclusion,40.63,-73.95,0,0,0,NY,173194,0,0.067,0,40.6261531,-73.9525462,3097,1131
97,336,29.8,117885,123366,479,4.944467354,7.1,880300,4000,1241,3097,1547,230,212,1569,107.27,36,0.07,0.05724859622,0.01,0.28,0.11,0.03,0.02,0.13,0.12,0.26,0.02,0.02,0.01,0.09948643411,0.99,0.63,0.16,0.06,0.13,0.01,0.43,0.07,0.06558448188,0.04194654271,0.48,0.14,0.38,0.26,0.04,0.09652703361,0.5,0.11,0.18,1,0.2795633877,0.1562713675,0.2710875842,36047075400,MHI - Stable Exclusion,40.62,-73.95,0,0,0,NY,173457,0,0.067,0,40.6214738,-73.9507115,1875,1087
197,466,36.1,83026,117971,703,4.944467354,5.6,682000,3035,897,1093,2115,594,583,2123,92.82,34.4,0.06,0.03,0.03,0.06,0.06,0.05,0.04,0.13,0.12,0.37,0.04,0.04,0.05,0.03,0.94,0.76,0.27,0.05,0.18,0.26,0.32,0.02,0.03,0.04,0.67,0.1,0.31,0.32,0.02,0.04,0.56,0.05,0.14,0.84,0.02,0.13,0.04,36047075600,MHI - Stable Exclusion,40.62,-73.95,0,0,0,NY,173546,0,0.067,0,40.6168562,-73.9479894,3097,1087
55,275,40.6,84318,135647,661,4.944467354,6.1,848600,3375,999,1087,1765,606,566,1765,101.25,49.2,0.13,0.02,0.04,0.02,0.04,0.08,0.05,0.08,0.21,0.37,0.02,0.05,0.03,0.03,0.93,0.73,0.37,0.03,0.14,0.3,0.21,0.1,0.06558448188,0.02,0.55,0.19,0.29,0.25,0.05,0.03,0.54,0.02,0.24,0.92,0.2795633877,0.04,0.03,36047075800,MHI - Stable Exclusion,40.62,-73.95,0,0,0,NY,205258,0,0.079,0,40.6164751,-73.9519619,3097,1093
291,717,39.9,42955,81742,1104,1.4,3.6,868200,3932,1150,1131,2956,1257,1194,2956,91.45,29.9,0.09,0.02,0.04,0.01,0.09,0.08,0.04,0.15,0.11,0.33,0.08,0.02,0.03,0.14,0.92,0.61,0.71,0.03,0.26,0.52,0.12,0.01,0.04,0.05,0.58,0.14,0.36,0.24,0.07,0.06,0.44,0.05,0.19,0.84,0.03,0.09,0.05,36047076000,LI - Not Losing Low-Income Households,40.62,-73.95,0,0,0,NY,181582,0,0.07,0,40.6213569,-73.9547885,3097,1087
514,664,45.2,44250,70474,1717,4.944467354,3.6,828300,2023,1146,1243,4703,2626,2453,4721,92.62,33.3,0.01,0.07,0.04,0.03,0.11,0.11,0.03,0.09,0.09,0.29,0.11,0.03,0.01,0.09,0.86,0.39,0.79,0.01,0.34,0.52,0.14,0.05078651685,0.09,0.07,0.62,0.16,0.34,0.3,0.17,0.06,0.39,0.04,0.21,0.51,0.17,0.18,0.17,36047076200,LI - Not Losing Low-Income Households,40.63,-73.96,0,0,0,NY,188043,0,0.073,0,40.6257185,-73.9564859,1370,1214
261,510,43,54636,66336,1418,0.8,3.8,733900,2860,1068,1230,3824,1780,1664,3824,89.59,35.7,0.06,0.06,0.02,0.02,0.1,0.06,0.02,0.09,0.09,0.33,0.14,0.04,0.03,0.03,0.85,0.48,0.81,0.03,0.32,0.56,0.03,0.01,0.14,0.05,0.64,0.12,0.43,0.39,0.11,0.05,0.33,0.07,0.15,0.34,0.51,0.04,0.14,36047076400,LI - Not Losing Low-Income Households,40.63,-73.96,0,0,0,NY,161588,0,0.062,0,40.6319262,-73.9586448,1388,1248
177,426,46.2,59653,73773,785,4.944467354,4.1,810500,3000,404,1388,2385,1065,1037,2393,83.37,35.5,0.07,0.02,0.03,0.02,0.14,0.07,0.04,0.03,0.09,0.39,0.05,0.05,0.07,0.09,0.9,0.61,0.75,0.02,0.27,0.43,0.11,0.01,0.18,0.03,0.83,0.09,0.42,0.47,0.05,0.09,0.3,0.06,0.12,0.1,0.81,0.01,0.1,36047076600,MHI - Stable Exclusion,40.63,-73.96,0,0,0,NY,82578,0,0.032,0,40.6331871,-73.956842,1382,1230
345,500,33.8,42500,68736,1213,2.3,4,641600,3108,876,1295,3270,1256,1180,3298,78.95,30.8,0.11,0.01,0.04,0.02,0.07,0.04,0.05,0.09,0.09,0.45,0.04,0.08,0.03,0.17,0.85,0.45,0.72,0.04078389831,0.3,0.38,0.12,0.01,0.1,0.02,0.24,0.14,0.28,0.35,0.08,0.06,0.42,0.04,0.16,0.77,0.03,0.11,0.1,36047076800,LI - Not Losing Low-Income Households,40.62,-73.96,0,0,0,NY,303359,0,0.117,0,40.6188042,-73.9608017,1358,1214
428,504,46.5,48611,67527,1182,13.2,4.1,559700,2069,832,1406,3233,1174,1174,3283,78.23,28.6,0.1,0.04,0.02,0.01,0.09,0.05,0.04,0.1,0.11,0.37,0.07,0.05,0.07,0.09,0.95,0.58,0.62,0.04,0.22,0.48,0.12,0.05,0.15,0.09,0.59,0.09,0.48,0.5,0.05,0.05,0.43,0.06,0.1,0.17,0.72,0.02,0.14,36047077000,LI - Not Losing Low-Income Households,40.64,-73.95,0,0,0,NY,163284,0,0.063,0,40.6361362,-73.9538295,1291,1105
254,440,42.5,60518,79210,1281,2.4,4,550800,2707,938,1286,3195,1082,1040,3203,91.45,33.2,0.05,0.03,0.04,0.01,0.08,0.08,0.03,0.09,0.16,0.35,0.07,0.06,0.01,0.1,0.95,0.72,0.67,0.07,0.21,0.43,0.07,0.01,0.05,0.04,0.67,0.1,0.3,0.44,0.03,0.05,0.45,0.04,0.15,0.4,0.5,0.02,0.1,36047077200,MHI - Stable Exclusion,40.63,-73.95,0,0,0,NY,404333,0,0.156,0,40.6316094,-73.953177,1875,1105
