,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
1246,"Census Tract 146.02, New York County, New York!!Estimate",303,656,31.6,"91,905","141,172","5,373",0,7.3,3.1,"631,500","2,446","1,004","2,093","7,731","1,881","1,815",(X),"7,731",68.35801394,38,"Census Tract 146.02, New York County, New York","Census Tract 146.02, New York County, New York!!Percent",4.50%,0.00%,1.50%,3.50%,3.40%,3.50%,2.90%,7.10%,25.40%,20.10%,22.60%,6.90%,1.60%,1.50%,2.60%,99.60%,92.60%,0.00%,0.00%,71.70%,5.30%,41.10%,83.10%,0.50%,0.00%,1.30%,1.50%,60.10%,15.80%,44.60%,49.30%,0.00%,0.60%,88.50%,28.80%,16.80%,91.90%,1.50%,0.00%,5.50%,12.30%,146.02,5927,14000US36061014602,36061014602,MHI - Stable Exclusion,NY,109193,0,0.042,0,40.7788148,-73.950975,0
1247,"Census Tract 147, New York County, New York!!Estimate",433,128,23.2,"169,963","249,134","1,972",0,7.3,3,"1,625,000","4,000+","1,500+","3,288","3,384","1,388","1,274",(X),"3,384",93.59267735,33.4,"Census Tract 147, New York County, New York","Census Tract 147, New York County, New York!!Percent",4.60%,0.00%,0.30%,2.30%,1.20%,3.20%,0.00%,3.90%,27.70%,19.30%,33.90%,4.60%,2.30%,1.30%,2.90%,98.50%,95.20%,0.00%,3.80%,86.40%,9.10%,60.10%,72.60%,4.10%,0.00%,5.20%,2.90%,64.40%,3.40%,31.00%,35.30%,1.40%,0.20%,88.70%,31.00%,5.10%,66.80%,2.20%,0.00%,26.10%,12.10%,147,5928,14000US36061014700,36061014700,VHI - Super Gentrification or Exclusion,NY,65414,0,0.025,0,40.7713285,-73.9888036,0
1248,"Census Tract 148.01, New York County, New York!!Estimate",231,334,29.1,"162,857","283,474","1,731",0,6.5,4,"1,744,700","2,885","1,184","2,313","3,164",550,515,(X),"3,164",97.99749687,39.8,"Census Tract 148.01, New York County, New York","Census Tract 148.01, New York County, New York!!Percent",3.20%,0.00%,0.00%,0.80%,2.80%,0.80%,0.00%,8.10%,27.70%,27.90%,22.00%,3.20%,4.80%,1.80%,1.50%,99.30%,88.10%,0.00%,0.50%,64.30%,0.90%,34.90%,58.50%,3.90%,0.60%,1.00%,1.40%,68.20%,23.10%,31.90%,30.30%,1.10%,1.60%,86.40%,25.00%,25.10%,83.80%,0.30%,0.40%,8.60%,6.70%,148.01,5929,14000US36061014801,36061014801,VHI - Super Gentrification or Exclusion,NY,51979,0,0.02,0,40.7788416,-73.9560743,0
1249,"Census Tract 148.02, New York County, New York!!Estimate",394,733,29.9,"125,714","215,363","4,014",6.5,10.1,3.4,"2,000,000+","4,000+","1,334","2,308","6,884","1,582","1,384",(X),"6,884",77.10316439,36.1,"Census Tract 148.02, New York County, New York","Census Tract 148.02, New York County, New York!!Percent",3.40%,0.00%,1.20%,0.60%,3.10%,5.50%,0.50%,8.00%,29.10%,18.50%,22.20%,4.50%,3.60%,3.10%,4.10%,97.30%,88.50%,0.00%,0.00%,63.60%,8.50%,36.00%,77.40%,4.10%,0.00%,1.60%,0.90%,54.80%,18.60%,36.90%,44.10%,0.60%,1.90%,82.90%,27.70%,20.00%,83.30%,1.60%,0.00%,7.70%,9.60%,148.02,5930,14000US36061014802,36061014802,MHI - Stable Exclusion,NY,125620,0,0.049,0,40.7810927,-73.9544321,0
1250,"Census Tract 149, New York County, New York!!Estimate",238,450,29.1,"152,335","284,345","4,160",2.6,4.8,3.3,"1,810,100","4,000+","1,500+","2,968","5,447","1,688","1,459",(X),"5,866",97.30911537,47,"Census Tract 149, New York County, New York","Census Tract 149, New York County, New York!!Percent",3.30%,2.30%,1.50%,3.50%,7.00%,9.40%,0.50%,9.20%,20.60%,21.30%,17.20%,1.40%,3.60%,2.60%,2.50%,97.30%,90.00%,0.00%,0.30%,61.70%,6.10%,34.20%,65.80%,7.40%,0.00%,0.00%,2.40%,41.00%,21.30%,39.10%,37.90%,0.90%,1.10%,80.80%,35.80%,24.50%,84.30%,1.10%,0.00%,12.10%,10.60%,149,5931,14000US36061014900,36061014900,VHI - Super Gentrification or Exclusion,NY,174047,0,0.067,0,40.7723544,-73.9824833,0
1251,"Census Tract 150.01, New York County, New York!!Estimate",56,402,29.5,"142,679","241,368","1,294",8.7,7,4.6,"1,762,500","4,000+","1,378","2,125","2,122",451,389,(X),"2,122",90.655885,50.2,"Census Tract 150.01, New York County, New York","Census Tract 150.01, New York County, New York!!Percent",3.00%,0.00%,1.90%,1.70%,4.40%,1.30%,0.00%,3.90%,33.80%,26.20%,19.10%,2.80%,5.00%,0.00%,5.90%,96.70%,87.50%,0.00%,0.00%,39.60%,3.50%,21.00%,59.40%,0.00%,1.00%,0.60%,0.00%,34.90%,28.50%,23.70%,18.90%,0.80%,0.60%,86.10%,20.00%,32.10%,88.90%,0.00%,0.00%,10.10%,5.10%,150.01,5932,14000US36061015001,36061015001,VHI - Super Gentrification or Exclusion,NY,51643,0,0.02,0,40.7801987,-73.9592834,0
1252,"Census Tract 150.02, New York County, New York!!Estimate",341,637,31.9,"162,984","328,662","2,945",7.5,8.2,4.8,"2,000,000+","3,203","1,500+","2,494","5,010","1,075",946,(X),"5,015",62.61348898,57.5,"Census Tract 150.02, New York County, New York","Census Tract 150.02, New York County, New York!!Percent",1.70%,0.00%,0.60%,3.00%,6.20%,5.40%,0.80%,1.20%,27.60%,19.40%,22.70%,4.30%,4.80%,3.90%,4.50%,98.00%,84.70%,0.00%,0.00%,26.70%,1.80%,12.90%,59.30%,5.30%,1.90%,2.60%,0.60%,34.90%,35.20%,15.80%,18.00%,0.50%,1.30%,87.10%,25.90%,41.00%,93.20%,0.80%,0.00%,4.20%,13.70%,150.02,5933,14000US36061015002,36061015002,VHI - Super Gentrification or Exclusion,NY,125571,0,0.048,0,40.7824499,-73.9576478,0
1253,"Census Tract 151, New York County, New York!!Estimate",449,614,32.8,"52,823","129,807","5,049",13.5,3.9,3.4,-,"4,000+",962,"1,095","7,682","3,394","2,406",(X),"7,682",72.62921348,38.7,"Census Tract 151, New York County, New York","Census Tract 151, New York County, New York!!Percent",6.60%,0.00%,0.00%,5.50%,1.40%,6.30%,1.20%,5.60%,14.90%,26.30%,21.70%,15.80%,0.50%,0.80%,14.10%,93.20%,69.40%,0.50%,7.30%,89.70%,10.50%,34.60%,78.70%,2.20%,0.60%,1.30%,2.40%,53.70%,16.60%,47.90%,44.10%,5.50%,5.90%,59.20%,21.20%,20.20%,55.80%,15.10%,0.30%,16.80%,33.70%,151,5934,14000US36061015100,36061015100,LI - Ongoing Gentrification,NY,333044,306023,0.129,0.118,40.7753625,-73.9921014,1
1254,"Census Tract 152, New York County, New York!!Estimate",702,662,36.8,"73,417","128,492","4,035",2.2,2.2,3.3,"814,800","4,000+","1,083","1,172","7,510","2,322","1,916",(X),"7,510",69.67916855,42.9,"Census Tract 152, New York County, New York","Census Tract 152, New York County, New York!!Percent",4.40%,0.00%,1.70%,2.60%,4.40%,8.30%,4.20%,3.20%,12.90%,23.20%,21.50%,7.50%,2.70%,7.70%,13.00%,92.70%,70.10%,0.00%,0.00%,82.00%,4.80%,34.70%,78.20%,2.70%,0.00%,2.40%,0.40%,59.50%,19.80%,30.20%,39.80%,6.10%,4.00%,61.50%,17.00%,23.70%,68.10%,12.70%,0.00%,9.40%,28.10%,152,5935,14000US36061015200,36061015200,MHI - Stable Exclusion,NY,189340,529192,0.073,0.204,40.7776648,-73.9398735,0
1255,"Census Tract 153, New York County, New York!!Estimate","1,349",255,27.1,"152,320","245,034","6,339",1.2,0,3.4,"1,077,500","3,699","1,135","2,605","9,288","2,168","1,900",(X),"9,298",85.44076586,40.7,"Census Tract 153, New York County, New York","Census Tract 153, New York County, New York!!Percent",5.70%,0.00%,0.40%,0.90%,1.00%,8.40%,0.00%,7.20%,30.80%,23.30%,19.40%,5.80%,1.60%,1.20%,1.70%,97.30%,90.60%,0.00%,0.30%,53.90%,5.00%,36.50%,75.40%,2.20%,1.30%,1.20%,0.00%,52.80%,16.80%,38.50%,37.30%,0.00%,1.10%,81.70%,31.90%,19.10%,85.00%,0.70%,0.60%,10.60%,6.70%,153,5936,14000US36061015300,36061015300,VHI - Super Gentrification or Exclusion,NY,174116,0,0.067,0,40.7748578,-73.9806658,0
1256,"Census Tract 154, New York County, New York!!Estimate","1,181","1,116",39.1,"82,026","112,488","8,433",0,7.4,3.2,"581,800","3,377",806,"1,910","15,496","3,663","3,410",(X),"15,502",76.72138623,37,"Census Tract 154, New York County, New York","Census Tract 154, New York County, New York!!Percent",6.10%,0.00%,0.50%,1.80%,0.90%,3.70%,3.50%,8.40%,25.00%,16.80%,24.90%,7.80%,3.90%,2.80%,4.30%,96.00%,81.80%,0.00%,0.00%,66.10%,5.20%,36.10%,70.20%,0.70%,1.70%,0.80%,1.10%,52.90%,14.20%,37.30%,50.30%,0.90%,2.50%,77.90%,22.90%,19.60%,77.40%,5.50%,0.00%,8.70%,13.80%,154,5937,14000US36061015400,36061015400,MHI - Stable Exclusion,NY,177371,0,0.068,0,40.7813494,-73.9491245,0
1257,"Census Tract 155, New York County, New York!!Estimate",808,776,29.3,"106,056","176,149","6,584",0,3.2,3.1,"700,700","1,968",958,"2,754","9,798","2,023","1,985",(X),"9,798",75.5599355,47,"Census Tract 155, New York County, New York","Census Tract 155, New York County, New York!!Percent",6.30%,0.00%,2.70%,1.90%,1.90%,6.00%,0.00%,9.00%,18.50%,24.30%,25.30%,5.60%,2.60%,2.20%,4.30%,96.40%,87.20%,1.70%,0.20%,34.90%,6.90%,21.80%,65.80%,0.70%,0.40%,1.30%,4.50%,47.90%,25.40%,32.90%,34.80%,0.30%,0.30%,83.70%,27.60%,29.80%,82.50%,1.40%,0.00%,12.30%,0.50%,155,5938,14000US36061015500,36061015500,MHI - Stable Exclusion,NY,197390,214654,0.076,0.083,40.7798937,-73.9935495,0
1258,"Census Tract 156.01, New York County, New York!!Estimate",266,202,34.6,"87,617","124,857","3,046",0,1,3.1,-,-,-,"2,130","5,535","1,692","1,611",(X),"5,553",80.82057962,32.6,"Census Tract 156.01, New York County, New York","Census Tract 156.01, New York County, New York!!Percent",2.90%,0.00%,1.20%,1.20%,2.10%,5.70%,1.10%,12.50%,15.10%,21.50%,28.80%,3.50%,4.20%,3.10%,5.70%,91.50%,74.40%,0.00%,1.60%,98.70%,10.90%,52.50%,78.90%,1.60%,1.30%,2.80%,2.60%,34.30%,8.10%,48.20%,48.80%,1.20%,0.60%,71.50%,27.60%,10.20%,73.40%,7.70%,0.00%,16.50%,11.70%,156.01,5939,14000US36061015601,36061015601,MHI - Stable Exclusion,NY,73566,0,0.028,0,40.7835686,-73.9475024,0
1259,"Census Tract 156.02, New York County, New York!!Estimate",125,301,34.1,"54,458","102,468","1,109",0,1.5,3.3,"995,300","3,858",-,963,"2,324",591,483,(X),"2,454",70.8913649,37,"Census Tract 156.02, New York County, New York","Census Tract 156.02, New York County, New York!!Percent",4.70%,0.00%,1.00%,1.60%,0.00%,7.70%,3.70%,6.30%,11.20%,17.60%,22.40%,16.30%,3.60%,8.60%,12.30%,91.80%,61.80%,0.00%,1.00%,89.90%,7.50%,31.60%,71.60%,7.40%,0.00%,2.30%,3.80%,72.10%,10.70%,47.20%,49.60%,4.90%,17.90%,41.20%,22.10%,13.10%,49.80%,22.40%,0.00%,13.80%,41.60%,156.02,5940,14000US36061015602,36061015602,LI - At Risk of Gentrification,NY,108755,0,0.042,0,40.7851821,-73.9463253,1
1260,"Census Tract 157, New York County, New York!!Estimate",629,443,27.9,"135,651","187,561","7,196",0,3.9,3.1,"808,100","3,057",556,"2,072","8,820","2,180","1,888",(X),"9,052",98.5523141,41.7,"Census Tract 157, New York County, New York","Census Tract 157, New York County, New York!!Percent",3.70%,0.00%,0.00%,3.40%,0.70%,5.30%,0.20%,14.10%,23.00%,20.90%,21.70%,7.00%,1.70%,1.90%,6.30%,98.10%,91.00%,0.00%,0.60%,63.80%,1.00%,41.90%,80.60%,3.20%,0.60%,0.00%,0.40%,64.50%,16.90%,49.00%,45.10%,0.50%,0.50%,87.10%,38.90%,18.70%,86.50%,1.80%,0.20%,9.30%,9.00%,157,5941,14000US36061015700,36061015700,MHI - Ongoing Exclusion,NY,182396,0,0.07,0,40.7774175,-73.9787896,0
1261,"Census Tract 158.01, New York County, New York!!Estimate",425,507,28.2,"143,065","225,004","2,983",0,2.7,3.9,"1,101,900","3,048","1,176","2,404","5,481","1,100","1,062",(X),"5,811",75.71817357,40.5,"Census Tract 158.01, New York County, New York","Census Tract 158.01, New York County, New York!!Percent",2.90%,0.00%,2.50%,3.80%,2.60%,4.60%,1.70%,5.60%,19.80%,23.20%,22.80%,7.60%,3.10%,2.60%,2.30%,98.60%,92.40%,0.00%,0.00%,51.90%,6.20%,37.30%,71.80%,3.10%,0.50%,3.00%,0.50%,52.00%,17.10%,36.10%,41.10%,1.10%,1.40%,90.10%,34.60%,20.50%,86.00%,3.30%,0.00%,8.60%,6.80%,158.01,5942,14000US36061015801,36061015801,VHI - Super Gentrification or Exclusion,NY,125754,0,0.049,0,40.7842784,-73.9521037,0
1262,"Census Tract 158.02, New York County, New York!!Estimate",261,200,28.6,"95,875","139,378","2,051",0,2.3,2.9,-,-,100-,"2,391","3,774","1,722","1,629",(X),"4,830",85.69780854,30.1,"Census Tract 158.02, New York County, New York","Census Tract 158.02, New York County, New York!!Percent",3.70%,0.00%,1.80%,2.50%,3.60%,8.70%,0.80%,5.40%,11.90%,20.50%,35.60%,5.70%,2.70%,0.80%,4.30%,90.90%,84.40%,0.00%,4.80%,97.90%,7.00%,59.20%,82.30%,0.60%,0.00%,3.90%,3.00%,29.30%,4.50%,59.10%,62.70%,0.80%,1.50%,84.00%,34.90%,5.50%,66.60%,5.50%,0.20%,22.00%,11.40%,158.02,5943,14000US36061015802,36061015802,MHI - Stable Exclusion,NY,51510,0,0.02,0,40.7865243,-73.950465,0
1263,"Census Tract 159, New York County, New York!!Estimate",374,691,30.4,"108,184","170,558","6,413",0,7.4,3.3,"988,300","3,288","1,089","2,122","9,131","1,804","1,706",(X),"9,146",78.94736842,42.3,"Census Tract 159, New York County, New York","Census Tract 159, New York County, New York!!Percent",2.60%,0.00%,1.30%,2.40%,2.10%,4.00%,1.00%,8.00%,21.70%,18.80%,26.50%,7.90%,3.60%,2.60%,5.80%,95.70%,87.10%,0.00%,0.50%,50.20%,7.40%,32.20%,67.90%,3.10%,0.80%,0.00%,2.10%,49.30%,16.50%,42.30%,45.10%,1.30%,2.10%,82.40%,37.70%,22.30%,87.60%,2.70%,0.00%,8.10%,5.50%,159,5944,14000US36061015900,36061015900,MHI - Ongoing Exclusion,NY,175127,110770,0.068,0.043,40.7806226,-73.9874341,0
1264,"Census Tract 160.01, New York County, New York!!Estimate",140,682,32.7,"233,529","445,911","1,871",0.7,0,5.6,"2,000,000+","4,000+",904,"2,565","3,906",925,898,(X),"3,918",85.95158994,51.1,"Census Tract 160.01, New York County, New York","Census Tract 160.01, New York County, New York!!Percent",4.10%,0.00%,1.30%,1.60%,1.70%,2.70%,0.00%,5.20%,29.70%,24.00%,18.00%,3.40%,7.20%,5.20%,2.50%,98.50%,86.90%,0.00%,0.00%,21.90%,1.80%,30.50%,48.60%,8.00%,1.10%,0.60%,0.50%,44.40%,25.00%,22.50%,20.70%,0.00%,0.00%,89.10%,24.00%,27.80%,88.90%,0.30%,0.00%,7.80%,6.90%,160.01,5945,14000US36061016001,36061016001,VHI - Super Gentrification or Exclusion,NY,125615,0,0.049,0,40.7856349,-73.9553223,0
1265,"Census Tract 160.02, New York County, New York!!Estimate",265,294,24.4,"87,750","248,411","1,305",4.2,4,4.4,"1,233,300","2,882",785,"1,665","2,980","1,118",976,(X),"3,599",91.02972399,30.7,"Census Tract 160.02, New York County, New York","Census Tract 160.02, New York County, New York!!Percent",6.00%,0.00%,0.40%,2.30%,2.50%,3.50%,0.40%,3.70%,16.00%,15.90%,49.50%,2.60%,2.60%,0.70%,5.00%,98.40%,90.70%,0.00%,0.00%,59.50%,6.80%,39.10%,66.90%,2.10%,0.00%,0.00%,0.60%,53.60%,13.90%,46.60%,49.30%,2.20%,2.70%,86.60%,34.60%,15.80%,75.20%,4.30%,0.00%,15.80%,8.00%,160.02,5946,14000US36061016002,36061016002,MHI - Stable Exclusion,NY,51424,0,0.02,0,40.7878788,-73.9536853,0
1266,"Census Tract 161, New York County, New York!!Estimate",382,400,31.1,"122,074","227,148","4,409",0,13.5,3.1,"2,000,000+","3,541","1,500+","2,310","6,305","1,268","1,132",(X),"6,305",87.98449612,38.6,"Census Tract 161, New York County, New York","Census Tract 161, New York County, New York!!Percent",4.30%,0.00%,1.40%,1.70%,3.70%,4.70%,1.60%,9.00%,17.10%,26.40%,19.30%,8.80%,3.20%,3.00%,2.60%,96.30%,85.60%,0.00%,0.30%,75.20%,11.30%,37.90%,78.70%,4.30%,0.80%,0.80%,0.00%,45.40%,14.70%,48.70%,52.20%,1.30%,0.50%,83.80%,42.00%,18.10%,87.50%,2.00%,0.10%,5.60%,6.90%,161,5947,14000US36061016100,36061016100,MHI - Ongoing Exclusion,NY,155741,0,0.06,0,40.7799492,-73.9771934,0
1267,"Census Tract 162, New York County, New York!!Estimate",783,"1,174",33.5,"27,218","37,953","4,124",0,3.1,3.5,"186,500",-,100-,788,"9,404","2,104","1,442",(X),"9,429",86.93497224,34.2,"Census Tract 162, New York County, New York","Census Tract 162, New York County, New York!!Percent",19.10%,0.00%,2.90%,2.70%,1.50%,12.60%,6.80%,2.70%,7.90%,14.40%,31.30%,3.80%,9.00%,4.40%,21.60%,91.00%,38.10%,0.00%,0.00%,91.00%,3.60%,20.70%,82.10%,2.20%,0.00%,4.60%,1.60%,4.30%,16.00%,60.60%,54.20%,9.30%,15.50%,26.20%,9.70%,21.00%,24.90%,45.30%,0.00%,6.40%,46.80%,162,5948,14000US36061016200,36061016200,LI - Ongoing Gentrification,NY,272018,832556,0.105,0.321,40.788038,-73.9405522,1
1268,"Census Tract 163, New York County, New York!!Estimate",596,382,29.5,"111,616","196,090","4,453",0,5.3,3.1,"1,222,400","3,593","1,012","2,077","7,094","1,629","1,493",(X),"7,118",82.18582032,42,"Census Tract 163, New York County, New York","Census Tract 163, New York County, New York!!Percent",4.30%,0.00%,1.30%,0.40%,0.60%,4.30%,3.70%,7.20%,19.40%,30.50%,15.20%,13.20%,3.10%,1.00%,7.30%,93.20%,79.40%,0.00%,2.90%,64.30%,8.80%,35.90%,80.70%,1.60%,0.30%,3.00%,1.20%,69.00%,24.90%,40.00%,48.10%,0.70%,1.10%,80.90%,35.00%,27.80%,83.80%,1.60%,0.00%,12.40%,4.70%,163,5949,14000US36061016300,36061016300,MHI - Stable Exclusion,NY,263616,352996,0.102,0.136,40.7849584,-73.9898263,0
1269,"Census Tract 164, New York County, New York!!Estimate",457,826,39.2,"32,347","61,565","2,849",77.3,0.8,3.9,-,-,-,875,"7,255","3,441","2,590",(X),"7,260",75.91470802,35.2,"Census Tract 164, New York County, New York","Census Tract 164, New York County, New York!!Percent",10.70%,0.00%,0.70%,2.90%,0.00%,14.40%,4.10%,4.10%,7.20%,11.50%,29.80%,16.00%,2.70%,6.60%,23.10%,90.80%,50.30%,0.30%,4.60%,99.60%,2.90%,37.50%,82.60%,3.20%,0.00%,2.70%,1.00%,0.00%,11.50%,59.10%,45.70%,12.50%,10.10%,34.00%,9.50%,17.90%,36.40%,22.70%,0.00%,13.00%,52.70%,164,5950,14000US36061016400,36061016400,LI - At Risk of Gentrification,NY,177390,0,0.068,0,40.7877141,-73.9444745,1
1270,"Census Tract 165, New York County, New York!!Estimate",419,461,36.6,"129,279","243,890","3,977",3.6,5.1,3.6,"1,043,000","3,465",986,"1,912","6,420","1,552","1,258",(X),"6,425",86.61051409,46.6,"Census Tract 165, New York County, New York","Census Tract 165, New York County, New York!!Percent",3.50%,0.00%,0.90%,4.70%,3.60%,4.00%,0.70%,7.00%,26.40%,25.30%,16.70%,6.70%,2.00%,1.90%,3.60%,96.60%,86.70%,0.00%,0.00%,61.90%,7.30%,31.20%,67.40%,7.30%,0.00%,0.50%,1.10%,46.80%,19.00%,44.00%,38.10%,3.20%,3.40%,75.70%,35.10%,21.60%,83.00%,4.80%,0.00%,8.30%,11.40%,165,5951,14000US36061016500,36061016500,MHI - Stable Exclusion,NY,204317,0,0.079,0,40.7823577,-73.9749987,0
1271,"Census Tract 166, New York County, New York!!Estimate",367,811,29.9,"37,227","63,431","3,124",25.4,1.9,3.6,"342,400","3,767",-,"1,056","6,990","2,354","1,996",(X),"7,555",97.61967042,31.7,"Census Tract 166, New York County, New York","Census Tract 166, New York County, New York!!Percent",7.70%,0.00%,5.70%,3.60%,1.30%,11.70%,1.10%,5.90%,11.30%,15.10%,17.10%,18.10%,5.50%,3.60%,8.60%,86.20%,44.20%,0.30%,0.00%,95.70%,3.50%,29.10%,83.30%,2.20%,2.50%,8.40%,4.50%,34.40%,7.10%,72.50%,52.40%,5.80%,15.00%,34.90%,16.60%,9.80%,51.60%,16.00%,0.40%,3.40%,51.20%,166,5952,14000US36061016600,36061016600,LI - At Risk of Gentrification,NY,174218,0,0.067,0,40.7893731,-73.9483928,1
1272,"Census Tract 167, New York County, New York!!Estimate",386,787,28.2,"131,733","262,895","3,730",3.1,2.2,3.9,"1,316,500","3,943","1,500+","2,149","6,423","1,248","1,146",(X),"6,423",85.90448625,44.4,"Census Tract 167, New York County, New York","Census Tract 167, New York County, New York!!Percent",4.80%,0.00%,0.40%,4.60%,1.10%,2.10%,2.00%,8.50%,21.90%,23.00%,22.40%,8.50%,4.30%,1.30%,5.10%,92.90%,86.70%,0.00%,0.00%,59.70%,5.00%,32.70%,66.70%,3.90%,0.00%,0.60%,0.20%,55.70%,19.90%,30.60%,30.50%,0.30%,0.60%,84.10%,32.60%,23.40%,85.30%,1.50%,0.00%,8.30%,7.90%,167,5953,14000US36061016700,36061016700,MHI - Stable Exclusion,NY,196978,141457,0.076,0.055,40.7861484,-73.9838791,0
1273,"Census Tract 168, New York County, New York!!Estimate",207,694,34,"31,944","104,141","1,929",0,2.1,3.9,"2,000,000+","2,971","1,500+",632,"4,067","1,303",860,(X),"4,681",76.24246988,43.1,"Census Tract 168, New York County, New York","Census Tract 168, New York County, New York!!Percent",14.00%,0.00%,0.00%,0.00%,4.70%,2.80%,1.00%,3.70%,12.10%,17.20%,41.60%,15.70%,1.30%,0.00%,20.30%,90.10%,50.40%,0.00%,6.40%,92.70%,2.20%,19.40%,75.00%,4.40%,0.00%,2.90%,2.30%,55.80%,16.90%,51.80%,55.40%,10.90%,11.70%,34.70%,16.10%,21.70%,43.10%,31.30%,1.10%,6.30%,40.10%,168,5954,14000US36061016800,36061016800,LI - At Risk of Gentrification,NY,199278,0,0.077,0,40.7910751,-73.9513565,1
1274,"Census Tract 169, New York County, New York!!Estimate",474,960,31,"102,030","176,280","4,959",4.5,4.4,3.2,"972,500","2,330","1,235","2,050","8,349","1,727","1,449",(X),"8,505",85.90163934,41.9,"Census Tract 169, New York County, New York","Census Tract 169, New York County, New York!!Percent",3.00%,0.00%,0.90%,5.60%,2.90%,4.30%,1.60%,8.50%,18.70%,23.50%,23.60%,5.80%,2.90%,1.70%,5.30%,95.80%,84.90%,0.00%,0.00%,70.50%,11.00%,29.80%,79.70%,0.00%,0.00%,1.90%,2.20%,59.90%,15.00%,44.10%,40.50%,2.00%,1.80%,80.80%,34.30%,18.60%,83.50%,4.50%,0.50%,6.80%,9.60%,169,5955,14000US36061016900,36061016900,MHI - Stable Exclusion,NY,180002,0,0.069,0,40.7851959,-73.9731196,0
1275,"Census Tract 170, New York County, New York!!Estimate",424,568,38.1,"30,213","44,873","3,498",21.2,0.8,3.7,-,-,953,"1,063","7,219","3,065","2,543",(X),"7,477",77.72759686,40.4,"Census Tract 170, New York County, New York","Census Tract 170, New York County, New York!!Percent",8.70%,0.70%,3.20%,2.60%,0.00%,8.60%,4.10%,3.00%,12.40%,11.20%,28.30%,16.20%,7.10%,2.60%,15.20%,88.30%,45.60%,0.00%,0.00%,95.50%,3.00%,29.60%,81.70%,2.00%,0.00%,2.50%,1.90%,60.40%,19.20%,58.60%,46.50%,14.70%,14.90%,28.10%,11.50%,23.50%,31.70%,26.70%,0.40%,17.00%,49.90%,170,5956,14000US36061017000,36061017000,LI - At Risk of Gentrification,NY,182916,0,0.071,0,40.7909025,-73.9421468,1
1276,"Census Tract 171, New York County, New York!!Estimate",244,"1,000",31.4,"112,488","234,842","4,948",0,4.3,3.5,"1,731,900","3,582","1,482","1,835","8,775","1,984","1,903",(X),"9,050",78.25487493,44.5,"Census Tract 171, New York County, New York","Census Tract 171, New York County, New York!!Percent",3.00%,0.00%,3.50%,1.40%,1.90%,1.40%,0.60%,6.80%,20.40%,25.90%,27.10%,7.20%,3.20%,0.60%,6.10%,93.10%,80.60%,0.00%,0.00%,61.20%,4.40%,26.40%,77.90%,0.80%,0.40%,0.60%,0.00%,55.50%,16.80%,46.00%,43.30%,2.70%,5.10%,77.60%,27.10%,21.30%,86.10%,6.70%,0.00%,4.10%,10.20%,171,5957,14000US36061017100,36061017100,MHI - Ongoing Exclusion,NY,217835,194050,0.084,0.075,40.7890396,-73.9823769,0
